form	label	len	freq	train_freq	dev_freq	form	form_freq	label	num_labels	label_freq
이날	DT_DAY	2	808	646	162	이날	808	DT_DAY	1	4356
경찰	OGG_POLITICS	2	734	605	129	경찰	751	OGG_POLITICS	4	4492
경찰	CV_OCCUPATION	2	15	13	2	경찰	751	CV_OCCUPATION	4	3329
경찰	CV_CLOTHING	2	1	1	0	경찰	751	CV_CLOTHING	4	193
경찰	TMI_SERVICE	2	1	1	0	경찰	751	TMI_SERVICE	4	699
배우	CV_OCCUPATION	2	720	578	142	배우	722	CV_OCCUPATION	2	3329
배우	CV_POSITION	2	2	2	0	배우	722	CV_POSITION	2	4290
한국	LCP_COUNTRY	2	556	452	104	한국	608	LCP_COUNTRY	4	3705
한국	OGG_SPORTS	2	41	33	8	한국	608	OGG_SPORTS	4	970
한국	OGG_POLITICS	2	9	6	3	한국	608	OGG_POLITICS	4	4492
한국	EV_SPORTS	2	2	2	0	한국	608	EV_SPORTS	4	720
A	PS_NAME	1	594	489	105	A	598	PS_NAME	3	17466
A	QT_ORDER	1	3	2	1	A	598	QT_ORDER	3	2633
A	OGG_ECONOMY	1	1	1	0	A	598	OGG_ECONOMY	3	1897
미국	LCP_COUNTRY	2	510	434	76	미국	568	LCP_COUNTRY	6	3705
미국	OGG_POLITICS	2	47	39	8	미국	568	OGG_POLITICS	6	4492
미국	OGG_SPORTS	2	6	4	2	미국	568	OGG_SPORTS	6	970
미국	OGG_MEDICINE	2	2	2	0	미국	568	OGG_MEDICINE	6	143
미국	CV_ART	2	2	2	0	미국	568	CV_ART	6	674
미국	LCP_PROVINCE	2	1	1	0	미국	568	LCP_PROVINCE	6	936
감독	CV_POSITION	2	563	457	106	감독	563	CV_POSITION	1	4290
김	PS_NAME	1	515	434	81	김	521	PS_NAME	3	17466
김	CV_FOOD	1	5	4	1	김	521	CV_FOOD	3	360
김	OGG_FOOD	1	1	0	1	김	521	OGG_FOOD	3	181
서울	LCP_CAPITALCITY	2	472	387	85	서울	476	LCP_CAPITALCITY	3	738
서울	LCP_CITY	2	2	2	0	서울	476	LCP_CITY	3	1262
서울	OGG_SPORTS	2	2	2	0	서울	476	OGG_SPORTS	3	970
대통령	CV_POSITION	3	456	386	70	대통령	457	CV_POSITION	2	4290
대통령	OGG_POLITICS	3	1	1	0	대통령	457	OGG_POLITICS	2	4492
일본	LCP_COUNTRY	2	380	306	74	일본	409	LCP_COUNTRY	3	3705
일본	OGG_POLITICS	2	18	17	1	일본	409	OGG_POLITICS	3	4492
일본	OGG_SPORTS	2	11	11	0	일본	409	OGG_SPORTS	3	970
10점	QT_OTHERS	3	398	339	59	10점	404	QT_OTHERS	2	1946
10점	QT_COUNT	3	6	6	0	10점	404	QT_COUNT	2	3166
중국	LCP_COUNTRY	2	354	279	75	중국	379	LCP_COUNTRY	5	3705
중국	OGG_POLITICS	2	15	13	2	중국	379	OGG_POLITICS	5	4492
중국	OGG_SPORTS	2	7	7	0	중국	379	OGG_SPORTS	5	970
중국	CV_ART	2	2	2	0	중국	379	CV_ART	5	674
중국	OGG_MILITARY	2	1	1	0	중국	379	OGG_MILITARY	5	422
박	PS_NAME	1	345	297	48	박	345	PS_NAME	1	17466
북한	LCP_COUNTRY	2	230	195	35	북한	345	LCP_COUNTRY	3	3705
북한	OGG_POLITICS	2	113	95	18	북한	345	OGG_POLITICS	3	4492
북한	OGG_SPORTS	2	2	2	0	북한	345	OGG_SPORTS	3	970
의원	CV_POSITION	2	326	263	63	의원	326	CV_POSITION	1	4290
이	PS_NAME	1	316	276	40	이	316	PS_NAME	1	17466
하나	QT_COUNT	2	300	253	47	하나	315	QT_COUNT	5	3166
하나	QT_MAN_COUNT	2	12	11	1	하나	315	QT_MAN_COUNT	5	2224
하나	OGG_ECONOMY	2	1	0	1	하나	315	OGG_ECONOMY	5	1897
하나	QT_ORDER	2	1	1	0	하나	315	QT_ORDER	5	2633
하나	PS_NAME	2	1	1	0	하나	315	PS_NAME	5	17466
1점	QT_OTHERS	2	301	271	30	1점	308	QT_OTHERS	3	1946
1점	QT_SPORTS	2	6	4	2	1점	308	QT_SPORTS	3	372
1점	QT_COUNT	2	1	1	0	1점	308	QT_COUNT	3	3166
정부	OGG_POLITICS	2	305	263	42	정부	306	OGG_POLITICS	2	4492
정부	OGG_ECONOMY	2	1	1	0	정부	306	OGG_ECONOMY	2	1897
검찰	OGG_POLITICS	2	289	243	46	검찰	289	OGG_POLITICS	1	4492
1편	QT_ORDER	2	216	192	24	1편	218	QT_ORDER	3	2633
1편	AFA_VIDEO	2	1	1	0	1편	218	AFA_VIDEO	3	2287
1편	QT_COUNT	2	1	1	0	1편	218	QT_COUNT	3	3166
오후	TI_DURATION	2	191	153	38	오후	193	TI_DURATION	3	1703
오후	TI_HOUR	2	1	1	0	오후	193	TI_HOUR	3	331
오후	TI_OTHERS	2	1	1	0	오후	193	TI_OTHERS	3	577
대표	CV_POSITION	2	188	153	35	대표	189	CV_POSITION	2	4290
대표	EV_OTHERS	2	1	1	0	대표	189	EV_OTHERS	2	826
가수	CV_OCCUPATION	2	182	148	34	가수	182	CV_OCCUPATION	1	3329
오전	TI_DURATION	2	179	143	36	오전	181	TI_DURATION	2	1703
오전	TI_HOUR	2	2	2	0	오전	181	TI_HOUR	2	331
가족	CV_RELATION	2	177	134	43	가족	179	CV_RELATION	3	1679
가족	AFW_SERVICE_PRODUCTS	2	1	0	1	가족	179	AFW_SERVICE_PRODUCTS	3	14
가족	OGG_OTHERS	2	1	1	0	가족	179	OGG_OTHERS	3	531
B	PS_NAME	1	173	151	22	B	175	PS_NAME	2	17466
B	QT_ORDER	1	2	1	1	B	175	QT_ORDER	2	2633
회장	CV_POSITION	2	175	142	33	회장	175	CV_POSITION	1	4290
학생	CV_OCCUPATION	2	171	147	24	학생	171	CV_OCCUPATION	1	3329
오늘	DT_DAY	2	160	124	36	오늘	162	DT_DAY	2	4356
오늘	DT_DURATION	2	2	1	1	오늘	162	DT_DURATION	2	1879
국회	OGG_POLITICS	2	153	129	24	국회	155	OGG_POLITICS	3	4492
국회	CV_POSITION	2	1	0	1	국회	155	CV_POSITION	3	4290
국회	AF_BUILDING	2	1	1	0	국회	155	AF_BUILDING	3	447
새누리당	OGG_POLITICS	4	153	124	29	새누리당	153	OGG_POLITICS	1	4492
아들	CV_RELATION	2	152	122	30	아들	152	CV_RELATION	1	1679
선수	CV_OCCUPATION	2	146	120	26	선수	147	CV_OCCUPATION	2	3329
선수	EV_SPORTS	2	1	1	0	선수	147	EV_SPORTS	2	720
앞	TM_DIRECTION	1	138	107	31	앞	138	TM_DIRECTION	1	619
눈	AM_PART	1	134	104	30	눈	134	AM_PART	1	1011
러시아	LCP_COUNTRY	3	115	97	18	러시아	134	LCP_COUNTRY	4	3705
러시아	OGG_SPORTS	3	10	8	2	러시아	134	OGG_SPORTS	4	970
러시아	OGG_POLITICS	3	8	8	0	러시아	134	OGG_POLITICS	4	4492
러시아	EV_OTHERS	3	1	1	0	러시아	134	EV_OTHERS	4	826
MBC	OGG_MEDIA	3	132	104	28	MBC	133	OGG_MEDIA	2	1194
MBC	AFA_VIDEO	3	1	1	0	MBC	133	AFA_VIDEO	2	2287
트위터	TMI_SERVICE	3	130	111	19	트위터	130	TMI_SERVICE	1	699
영국	LCP_COUNTRY	2	122	100	22	영국	127	LCP_COUNTRY	4	3705
영국	OGG_SPORTS	2	2	2	0	영국	127	OGG_SPORTS	4	970
영국	OGG_POLITICS	2	2	2	0	영국	127	OGG_POLITICS	4	4492
영국	CV_ART	2	1	1	0	영국	127	CV_ART	4	674
페이스북	TMI_SERVICE	4	88	73	15	페이스북	127	TMI_SERVICE	2	699
페이스북	OGG_ECONOMY	4	39	38	1	페이스북	127	OGG_ECONOMY	2	1897
지난해	DT_YEAR	3	125	96	29	지난해	126	DT_YEAR	2	1758
지난해	DT_OTHERS	3	1	1	0	지난해	126	DT_OTHERS	2	1712
올해	DT_YEAR	2	123	103	20	올해	125	DT_YEAR	2	1758
올해	DT_OTHERS	2	2	2	0	올해	125	DT_OTHERS	2	1712
딸	CV_RELATION	1	124	91	33	딸	124	CV_RELATION	1	1679
징역	CV_LAW	2	122	93	29	징역	122	CV_LAW	1	763
2명	QT_MAN_COUNT	2	117	100	17	2명	117	QT_MAN_COUNT	1	2224
박근혜	PS_NAME	3	116	99	17	박근혜	116	PS_NAME	1	17466
둘	QT_MAN_COUNT	1	80	71	9	둘	115	QT_MAN_COUNT	4	2224
둘	QT_COUNT	1	33	25	8	둘	115	QT_COUNT	4	3166
둘	QT_OTHERS	1	1	0	1	둘	115	QT_OTHERS	4	1946
둘	QT_ORDER	1	1	1	0	둘	115	QT_ORDER	4	2633
한번	QT_COUNT	2	113	98	15	한번	113	QT_COUNT	1	3166
3명	QT_MAN_COUNT	2	112	93	19	3명	112	QT_MAN_COUNT	1	2224
2편	QT_ORDER	2	109	96	13	2편	111	QT_ORDER	2	2633
2편	QT_COUNT	2	2	1	1	2편	111	QT_COUNT	2	3166
윤	PS_NAME	1	111	90	21	윤	111	PS_NAME	1	17466
대한민국	LCP_COUNTRY	4	100	88	12	대한민국	110	LCP_COUNTRY	3	3705
대한민국	OGG_POLITICS	4	7	5	2	대한민국	110	OGG_POLITICS	3	4492
대한민국	OGG_SPORTS	4	3	2	1	대한민국	110	OGG_SPORTS	3	970
민주당	OGG_POLITICS	3	110	88	22	민주당	110	OGG_POLITICS	1	4492
전날	DT_DAY	2	109	82	27	전날	109	DT_DAY	1	4356
손	AM_PART	1	91	76	15	손	108	AM_PART	2	1011
손	PS_NAME	1	17	16	1	손	108	PS_NAME	2	17466
1위	QT_ORDER	2	107	86	21	1위	107	QT_ORDER	1	2633
청와대	OGG_POLITICS	3	87	78	9	청와대	107	OGG_POLITICS	2	4492
청와대	AF_BUILDING	3	20	17	3	청와대	107	AF_BUILDING	2	447
17일	DT_DAY	3	106	84	22	17일	106	DT_DAY	1	4356
얼굴	AM_PART	2	106	79	27	얼굴	106	AM_PART	1	1011
경기도	LCP_PROVINCE	3	100	78	22	경기도	105	LCP_PROVINCE	2	936
경기도	OGG_POLITICS	3	5	4	1	경기도	105	OGG_POLITICS	2	4492
최	PS_NAME	1	105	86	19	최	105	PS_NAME	1	17466
1	QT_ORDER	1	76	67	9	1	104	QT_ORDER	5	2633
1	QT_OTHERS	1	23	20	3	1	104	QT_OTHERS	5	1946
1	QT_COUNT	1	2	0	2	1	104	QT_COUNT	5	3166
1	QT_SPORTS	1	2	2	0	1	104	QT_SPORTS	5	372
1	QT_AGE	1	1	1	0	1	104	QT_AGE	5	1334
5일	DT_DAY	2	98	76	22	5일	103	DT_DAY	2	4356
5일	DT_DURATION	2	5	4	1	5일	103	DT_DURATION	2	1879
정	PS_NAME	1	102	88	14	정	103	PS_NAME	2	17466
정	OGG_POLITICS	1	1	1	0	정	103	OGG_POLITICS	2	4492
2	QT_ORDER	1	86	78	8	2	102	QT_ORDER	3	2633
2	QT_OTHERS	1	14	11	3	2	102	QT_OTHERS	3	1946
2	QT_COUNT	1	2	2	0	2	102	QT_COUNT	3	3166
한국영화	CV_ART	4	102	83	19	한국영화	102	CV_ART	1	674
교수	CV_OCCUPATION	2	100	77	23	교수	101	CV_OCCUPATION	2	3329
교수	CV_POSITION	2	1	0	1	교수	101	CV_POSITION	2	4290
부산	LCP_CITY	2	93	68	25	부산	99	LCP_CITY	5	1262
부산	OGG_SPORTS	2	2	1	1	부산	99	OGG_SPORTS	5	970
부산	OGG_POLITICS	2	2	2	0	부산	99	OGG_POLITICS	5	4492
부산	LCP_COUNTY	2	1	1	0	부산	99	LCP_COUNTY	5	919
부산	EV_SPORTS	2	1	1	0	부산	99	EV_SPORTS	5	720
장관	CV_POSITION	2	98	80	18	장관	98	CV_POSITION	1	4290
성룡	PS_NAME	2	56	47	9	성룡	97	PS_NAME	3	17466
성룡	PS_CHARACTER	2	40	37	3	성룡	97	PS_CHARACTER	3	969
성룡	PS_PET	2	1	1	0	성룡	97	PS_PET	3	14
프랑스	LCP_COUNTRY	3	89	71	18	프랑스	97	LCP_COUNTRY	3	3705
프랑스	OGG_SPORTS	3	7	5	2	프랑스	97	OGG_SPORTS	3	970
프랑스	OGG_MEDIA	3	1	1	0	프랑스	97	OGG_MEDIA	3	1194
조	PS_NAME	1	95	81	14	조	96	PS_NAME	2	17466
조	PS_CHARACTER	1	1	0	1	조	96	PS_CHARACTER	2	969
가슴	AM_PART	2	94	76	18	가슴	94	AM_PART	1	1011
1명	QT_MAN_COUNT	2	93	73	20	1명	93	QT_MAN_COUNT	1	2224
작가	CV_OCCUPATION	2	93	74	19	작가	93	CV_OCCUPATION	1	3329
하루	DT_DURATION	2	90	69	21	하루	92	DT_DURATION	3	1879
하루	TI_DURATION	2	1	0	1	하루	92	TI_DURATION	3	1703
하루	DT_DAY	2	1	1	0	하루	92	DT_DAY	3	4356
애플	OGG_ECONOMY	2	91	78	13	애플	91	OGG_ECONOMY	1	1897
두 사람	QT_MAN_COUNT	4	90	82	8	두 사람	90	QT_MAN_COUNT	1	2224
기자	CV_OCCUPATION	2	89	68	21	기자	89	CV_OCCUPATION	1	3329
아버지	CV_RELATION	3	85	72	13	아버지	85	CV_RELATION	1	1679
16일	DT_DAY	3	84	69	15	16일	84	DT_DAY	1	4356
밤	TI_DURATION	1	83	66	17	밤	83	TI_DURATION	1	1703
3일	DT_DAY	2	77	61	16	3일	82	DT_DAY	2	4356
3일	DT_DURATION	2	5	4	1	3일	82	DT_DURATION	2	1879
KBS	OGG_MEDIA	3	81	71	10	KBS	82	OGG_MEDIA	2	1194
KBS	EV_FESTIVAL	3	1	1	0	KBS	82	EV_FESTIVAL	2	139
국정원	OGG_POLITICS	3	81	74	7	국정원	82	OGG_POLITICS	2	4492
국정원	EV_OTHERS	3	1	1	0	국정원	82	EV_OTHERS	2	826
22일	DT_DAY	3	80	65	15	22일	81	DT_DAY	2	4356
22일	DT_DURATION	3	1	1	0	22일	81	DT_DURATION	2	1879
13일	DT_DAY	3	80	61	19	13일	80	DT_DAY	1	4356
스마트폰	TMI_HW	4	80	67	13	스마트폰	80	TMI_HW	1	733
23일	DT_DAY	3	79	63	16	23일	79	DT_DAY	1	4356
19일	DT_DAY	3	77	47	30	19일	78	DT_DAY	2	4356
19일	DT_DURATION	3	1	1	0	19일	78	DT_DURATION	2	1879
법원	OGG_LAW	2	78	67	11	법원	78	OGG_LAW	1	400
신	PS_NAME	1	76	60	16	신	77	PS_NAME	2	17466
신	OGG_OTHERS	1	1	1	0	신	77	OGG_OTHERS	2	531
10일	DT_DAY	3	74	62	12	10일	76	DT_DAY	2	4356
10일	DT_DURATION	3	2	1	1	10일	76	DT_DURATION	2	1879
24일	DT_DAY	3	76	57	19	24일	76	DT_DAY	1	4356
4일	DT_DAY	2	69	52	17	4일	76	DT_DAY	2	4356
4일	DT_DURATION	2	7	3	4	4일	76	DT_DURATION	2	1879
8일	DT_DAY	2	75	62	13	8일	75	DT_DAY	1	4356
남편	CV_RELATION	2	75	61	14	남편	75	CV_RELATION	1	1679
머리	AM_PART	2	74	58	16	머리	75	AM_PART	2	1011
머리	PS_NAME	2	1	1	0	머리	75	PS_NAME	2	17466
11일	DT_DAY	3	74	59	15	11일	74	DT_DAY	1	4356
12일	DT_DAY	3	74	61	13	12일	74	DT_DAY	1	4356
4명	QT_MAN_COUNT	2	74	63	11	4명	74	QT_MAN_COUNT	1	2224
부부	CV_RELATION	2	74	63	11	부부	74	CV_RELATION	1	1679
서울시	OGG_POLITICS	3	49	44	5	서울시	74	OGG_POLITICS	2	4492
서울시	LCP_CAPITALCITY	3	25	24	1	서울시	74	LCP_CAPITALCITY	2	738
25일	DT_DAY	3	73	58	15	25일	73	DT_DAY	1	4356
7일	DT_DAY	2	72	55	17	7일	73	DT_DAY	2	4356
7일	DT_DURATION	2	1	1	0	7일	73	DT_DURATION	2	1879
유	PS_NAME	1	73	66	7	유	73	PS_NAME	1	17466
10년	DT_DURATION	3	72	61	11	10년	72	DT_DURATION	1	1879
2점	QT_OTHERS	2	63	53	10	2점	72	QT_OTHERS	3	1946
2점	QT_SPORTS	2	6	4	2	2점	72	QT_SPORTS	3	372
2점	QT_COUNT	2	3	1	2	2점	72	QT_COUNT	3	3166
아내	CV_RELATION	2	72	58	14	아내	72	CV_RELATION	1	1679
독일	LCP_COUNTRY	2	60	50	10	독일	71	LCP_COUNTRY	3	3705
독일	OGG_SPORTS	2	9	7	2	독일	71	OGG_SPORTS	3	970
독일	OGG_POLITICS	2	2	1	1	독일	71	OGG_POLITICS	3	4492
엄마	CV_RELATION	2	71	56	15	엄마	71	CV_RELATION	1	1679
강	PS_NAME	1	69	63	6	강	70	PS_NAME	2	17466
강	PS_CHARACTER	1	1	1	0	강	70	PS_CHARACTER	2	969
안	PS_NAME	1	70	57	13	안	70	PS_NAME	1	17466
차	AF_TRANSPORT	1	62	49	13	차	70	AF_TRANSPORT	3	1023
차	PS_NAME	1	7	6	1	차	70	PS_NAME	3	17466
차	CV_DRINK	1	1	1	0	차	70	CV_DRINK	3	169
14일	DT_DAY	3	69	55	14	14일	69	DT_DAY	1	4356
15일	DT_DAY	3	67	54	13	15일	69	DT_DAY	2	4356
15일	DT_DURATION	3	2	2	0	15일	69	DT_DURATION	2	1879
9일	DT_DAY	2	68	50	18	9일	69	DT_DAY	2	4356
9일	DT_DURATION	2	1	1	0	9일	69	DT_DURATION	2	1879
삼성전자	OGG_ECONOMY	4	69	60	9	삼성전자	69	OGG_ECONOMY	1	1897
21일	DT_DAY	3	68	53	15	21일	68	DT_DAY	1	4356
네이버	TMI_SERVICE	3	65	55	10	네이버	68	TMI_SERVICE	2	699
네이버	OGG_ECONOMY	3	3	3	0	네이버	68	OGG_ECONOMY	2	1897
0점	QT_OTHERS	2	65	57	8	0점	67	QT_OTHERS	3	1946
0점	QT_COUNT	2	1	1	0	0점	67	QT_COUNT	3	3166
0점	QT_SPORTS	2	1	1	0	0점	67	QT_SPORTS	3	372
SBS	OGG_MEDIA	3	67	54	13	SBS	67	OGG_MEDIA	1	1194
세월호	AF_TRANSPORT	3	61	53	8	세월호	67	AF_TRANSPORT	2	1023
세월호	EV_OTHERS	3	6	6	0	세월호	67	EV_OTHERS	2	826
아침	TI_DURATION	2	67	61	6	아침	67	TI_DURATION	1	1703
총리	CV_POSITION	2	67	48	19	총리	67	CV_POSITION	1	4290
18일	DT_DAY	3	66	46	20	18일	66	DT_DAY	1	4356
26일	DT_DAY	3	66	54	12	26일	66	DT_DAY	1	4356
사장	CV_POSITION	2	66	51	15	사장	66	CV_POSITION	1	4290
애니	CV_ART	2	66	56	10	애니	66	CV_ART	1	674
3점	QT_OTHERS	2	61	55	6	3점	64	QT_OTHERS	2	1946
3점	QT_SPORTS	2	3	2	1	3점	64	QT_SPORTS	2	372
9점	QT_OTHERS	2	64	52	12	9점	64	QT_OTHERS	1	1946
어머니	CV_RELATION	3	64	55	9	어머니	64	CV_RELATION	1	1679
28일	DT_DAY	3	63	51	12	28일	63	DT_DAY	1	4356
애니메이션	CV_ART	5	63	47	16	애니메이션	63	CV_ART	1	674
2011년	DT_YEAR	5	62	46	16	2011년	62	DT_YEAR	1	1758
27일	DT_DAY	3	62	50	12	27일	62	DT_DAY	1	4356
새벽	TI_DURATION	2	61	51	10	새벽	62	TI_DURATION	2	1703
새벽	TI_OTHERS	2	1	1	0	새벽	62	TI_OTHERS	2	577
1일	DT_DAY	2	58	44	14	1일	61	DT_DAY	2	4356
1일	DT_DURATION	2	3	2	1	1일	61	DT_DURATION	2	1879
경기	LCP_PROVINCE	2	58	46	12	경기	61	LCP_PROVINCE	2	936
경기	EV_SPORTS	2	3	3	0	경기	61	EV_SPORTS	2	720
위원장	CV_POSITION	3	61	46	15	위원장	61	CV_POSITION	1	4290
홍콩	LCP_PROVINCE	2	57	45	12	홍콩	61	LCP_PROVINCE	3	936
홍콩	LCP_COUNTRY	2	3	3	0	홍콩	61	LCP_COUNTRY	3	3705
홍콩	OGG_SPORTS	2	1	0	1	홍콩	61	OGG_SPORTS	3	970
20일	DT_DAY	3	60	43	17	20일	60	DT_DAY	1	4356
3편	QT_ORDER	2	55	49	6	3편	60	QT_ORDER	2	2633
3편	QT_COUNT	2	5	4	1	3편	60	QT_COUNT	2	3166
광주	LCP_CITY	2	59	45	14	광주	60	LCP_CITY	2	1262
광주	OGG_SPORTS	2	1	1	0	광주	60	OGG_SPORTS	2	970
대선	EV_OTHERS	2	50	42	8	대선	60	EV_OTHERS	3	826
대선	CV_POSITION	2	9	9	0	대선	60	CV_POSITION	3	4290
대선	DT_OTHERS	2	1	1	0	대선	60	DT_OTHERS	3	1712
부모	CV_RELATION	2	60	49	11	부모	60	CV_RELATION	1	1679
위	TM_DIRECTION	1	59	50	9	위	60	TM_DIRECTION	2	619
위	PS_NAME	1	1	1	0	위	60	PS_NAME	2	17466
총	AF_WEAPON	1	24	23	1	총	60	AF_WEAPON	5	282
총	QT_PRICE	1	20	16	4	총	60	QT_PRICE	5	999
총	QT_COUNT	1	11	8	3	총	60	QT_COUNT	5	3166
총	QT_MAN_COUNT	1	4	4	0	총	60	QT_MAN_COUNT	5	2224
총	QT_OTHERS	1	1	1	0	총	60	QT_OTHERS	5	1946
전	PS_NAME	1	57	47	10	전	59	PS_NAME	3	17466
전	DT_OTHERS	1	1	0	1	전	59	DT_OTHERS	3	1712
전	EV_WAR_REVOLUTION	1	1	1	0	전	59	EV_WAR_REVOLUTION	3	55
2014	DT_YEAR	4	58	51	7	2014	58	DT_YEAR	1	1758
2시간	TI_DURATION	3	58	52	6	2시간	58	TI_DURATION	1	1703
교사	CV_OCCUPATION	2	57	47	10	교사	57	CV_OCCUPATION	1	3329
대구	LCP_CITY	2	54	41	13	대구	57	LCP_CITY	3	1262
대구	PS_CHARACTER	2	2	2	0	대구	57	PS_CHARACTER	3	969
대구	AM_INSECT	2	1	1	0	대구	57	AM_INSECT	3	9
호주	LCP_COUNTRY	2	53	45	8	호주	57	LCP_COUNTRY	2	3705
호주	OGG_SPORTS	2	4	4	0	호주	57	OGG_SPORTS	2	970
29일	DT_DAY	3	56	46	10	29일	56	DT_DAY	1	4356
6일	DT_DAY	2	56	45	11	6일	56	DT_DAY	1	4356
뉴욕	LCP_CITY	2	55	48	7	뉴욕	56	LCP_CITY	2	1262
뉴욕	EV_FESTIVAL	2	1	1	0	뉴욕	56	EV_FESTIVAL	2	139
삼성	OGG_ECONOMY	2	45	39	6	삼성	56	OGG_ECONOMY	2	1897
삼성	OGG_SPORTS	2	11	6	5	삼성	56	OGG_SPORTS	2	970
유튜브	TMI_SERVICE	3	55	49	6	유튜브	56	TMI_SERVICE	2	699
유튜브	OGG_MEDIA	3	1	0	1	유튜브	56	OGG_MEDIA	2	1194
개그맨	CV_OCCUPATION	3	55	37	18	개그맨	55	CV_OCCUPATION	1	3329
브라질	LCP_COUNTRY	3	41	35	6	브라질	55	LCP_COUNTRY	2	3705
브라질	OGG_SPORTS	3	14	9	5	브라질	55	OGG_SPORTS	2	970
제주도	LCP_PROVINCE	3	54	44	10	제주도	55	LCP_PROVINCE	2	936
제주도	OGG_POLITICS	3	1	1	0	제주도	55	OGG_POLITICS	2	4492
2014년	DT_YEAR	5	53	39	14	2014년	54	DT_YEAR	2	1758
2014년	DT_DURATION	5	1	0	1	2014년	54	DT_DURATION	2	1879
대변인	CV_POSITION	3	54	43	11	대변인	54	CV_POSITION	1	4290
부인	CV_RELATION	2	54	37	17	부인	54	CV_RELATION	1	1679
인스타그램	TMI_SERVICE	5	54	51	3	인스타그램	54	TMI_SERVICE	1	699
이연걸	PS_NAME	3	54	45	9	이연걸	54	PS_NAME	1	17466
IS	OGG_MILITARY	2	53	38	15	IS	53	OGG_MILITARY	1	422
만점	QT_OTHERS	2	53	48	5	만점	53	QT_OTHERS	1	1946
메르스	TMM_DISEASE	3	53	47	6	메르스	53	TMM_DISEASE	1	341
버스	AF_TRANSPORT	2	52	41	11	버스	53	AF_TRANSPORT	2	1023
버스	CV_OCCUPATION	2	1	0	1	버스	53	CV_OCCUPATION	2	3329
인천	LCP_CITY	2	53	41	12	인천	53	LCP_CITY	1	1262
한국인	CV_TRIBE	3	53	49	4	한국인	53	CV_TRIBE	1	214
3	QT_ORDER	1	30	24	6	3	52	QT_ORDER	6	2633
3	QT_OTHERS	1	11	10	1	3	52	QT_OTHERS	6	1946
3	QT_AGE	1	5	4	1	3	52	QT_AGE	6	1334
3	QT_COUNT	1	2	2	0	3	52	QT_COUNT	6	3166
3	QT_MAN_COUNT	1	2	2	0	3	52	QT_MAN_COUNT	6	2224
3	QT_SPORTS	1	2	2	0	3	52	QT_SPORTS	6	372
2013년	DT_YEAR	5	52	36	16	2013년	52	DT_YEAR	1	1758
카메라	TMI_HW	3	52	46	6	카메라	52	TMI_HW	1	733
5명	QT_MAN_COUNT	2	51	39	12	5명	51	QT_MAN_COUNT	1	2224
80년대	DT_YEAR	4	51	44	7	80년대	51	DT_YEAR	1	1758
낮	TI_DURATION	1	51	50	1	낮	51	TI_DURATION	1	1703
크리스마스	DT_DAY	5	51	44	7	크리스마스	51	DT_DAY	1	4356
20대	QT_AGE	3	44	36	8	20대	50	QT_AGE	3	1334
20대	QT_ORDER	3	4	4	0	20대	50	QT_ORDER	3	2633
20대	QT_COUNT	3	2	1	1	20대	50	QT_COUNT	3	3166
목	AM_PART	1	50	39	11	목	50	AM_PART	1	1011
문	PS_NAME	1	50	43	7	문	50	PS_NAME	1	17466
3개	QT_COUNT	2	49	42	7	3개	49	QT_COUNT	1	3166
경북	LCP_PROVINCE	2	49	35	14	경북	49	LCP_PROVINCE	1	936
